Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Price Date,Modal Price (Rs./kg),Min Price ,Max price
8781,Pune,Pune,Papaya,Other,Local,700,1500,18-Jun-25,11,7,15
8782,Pune,Pune,Papaya,Other,Local,1000,1700,4-Dec-24,13,10,17
8783,Pune,Pune,Papaya,Other,Local,1000,2500,27-Oct-24,17,10,25
8784,Pune,Pune,Papaya,Other,Local,1000,3200,5-Sep-24,21,10,32
8785,Pune,Pune,Papaya,Other,Local,700,2000,14-Jul-25,13,7,20
8786,Pune,Pune,Papaya,Other,Local,1000,2000,27-Apr-25,15,10,20
8787,Pune,Pune,Papaya,Other,Local,500,1500,3-Jul-25,10,5,15
8788,Pune,Pune,Papaya,Other,Local,1000,2500,19-Sep-24,17,10,25
8789,Pune,Pune,Papaya,Other,Local,1000,2500,15-Oct-24,17,10,25
8790,Pune,Pune,Papaya,Other,Local,700,1500,25-Jun-25,11,7,15
8791,Pune,Pune,Papaya,Other,Local,1000,2500,16-Mar-25,17,10,25
8792,Pune,Pune,Papaya,Other,Local,1000,2000,4-Apr-25,15,10,20
8793,Pune,Pune,Papaya,Other,Local,1000,2500,20-Oct-24,17,10,25
8794,Pune,Pune,Papaya,Other,Local,700,1200,11-Jun-25,9,7,12
8795,Pune,Pune,Papaya,Other,Local,700,1500,22-Apr-25,11,7,15
8796,Pune,Pune,Papaya,Other,Local,1000,2500,15-Jan-25,17,10,25
8797,Pune,Pune,Papaya,Other,Local,700,2000,5-Mar-25,13,7,20
8798,Pune,Pune,Papaya,Other,Local,500,2000,23-May-25,12,5,20
8799,Pune,Pune,Papaya,Other,Local,700,1500,16-Jun-25,11,7,15
8800,Pune,Pune,Papaya,Other,Local,700,1500,4-Jul-25,11,7,15
8801,Pune,Pune,Papaya,Other,Local,1500,3000,13-Jan-25,22,15,30
8802,Pune,Pune,Papaya,Other,Local,1000,2500,23-Jan-25,17,10,25
8803,Pune,Pune,Papaya,Other,Local,1000,2000,24-Apr-25,15,10,20
8804,Pune,Pune,Papaya,Other,Local,1000,2000,17-Oct-24,15,10,20
8805,Pune,Pune,Papaya,Other,Local,1000,2000,14-Feb-25,15,10,20
8806,Pune,Pune,Papaya,Other,Local,700,2000,21-Mar-25,13,7,20
8807,Pune,Pune,Papaya,Other,Local,700,2000,24-Feb-25,13,7,20
8808,Pune,Pune,Papaya,Other,Local,1000,2000,28-Feb-25,15,10,20
8809,Pune,Pune,Papaya,Other,Local,700,1500,23-Jun-25,11,7,15
8810,Pune,Pune,Papaya,Other,Local,700,1500,6-Jun-25,11,7,15
8811,Pune,Pune,Papaya,Other,Local,1000,3000,4-Sep-24,20,10,30
8812,Pune,Pune,Papaya,Other,Local,1000,2500,22-Jan-25,17,10,25
8813,Pune,Pune,Papaya,Other,Local,1000,1500,3-Nov-24,12,10,15
8814,Pune,Pune,Papaya,Other,Local,1000,2000,3-Feb-25,15,10,20
8815,Pune,Pune,Papaya,Other,Local,700,1000,21-Oct-24,8,7,10
8816,Pune,Pune,Papaya,Other,Local,1000,2500,29-Sep-24,17,10,25
8817,Pune,Pune,Papaya,Other,Local,1000,1700,18-Dec-24,13,10,17
8818,Pune,Pune,Papaya,Other,Local,700,2000,31-Mar-25,13,7,20
8819,Pune,Pune,Papaya,Other,Local,1000,1700,22-Dec-24,13,10,17
8820,Pune,Pune,Papaya,Other,Local,1000,1700,19-Nov-24,13,10,17
8821,Pune,Pune,Papaya,Other,Local,1000,2500,21-Jan-25,17,10,25
8822,Pune,Pune,Papaya,Other,Local,1000,2000,27-Feb-25,15,10,20
8823,Pune,Pune,Papaya,Other,Local,1000,1800,18-May-25,14,10,18
8824,Pune,Pune,Papaya,Other,Local,1000,2000,2-Dec-24,15,10,20
8825,Pune,Pune,Papaya,Other,Local,800,1500,12-Jun-25,11,8,15
8826,Pune,Pune,Papaya,Other,Local,1000,2200,23-Jul-25,16,10,22
8827,Pune,Pune,Papaya,Other,Local,500,1500,10-Jun-25,10,5,15
8828,Pune,Pune,Papaya,Other,Local,1000,2000,7-Feb-25,15,10,20
8829,Pune,Pune,Papaya,Other,Local,1000,2500,21-Jul-25,17,10,25
8830,Pune,Pune,Papaya,Other,Local,1000,2000,8-Jan-25,15,10,20
8831,Pune,Pune,Papaya,Other,Local,700,1500,3-Jun-25,11,7,15
8832,Pune,Pune,Papaya,Other,Local,1000,2000,6-Feb-25,15,10,20
8833,Pune,Pune,Papaya,Other,Local,700,2000,23-Mar-25,13,7,20
8834,Pune,Pune,Papaya,Other,Local,1000,2000,16-Apr-25,15,10,20
8835,Pune,Pune,Papaya,Other,Local,1000,2500,16-Oct-24,17,10,25
8836,Pune,Pune,Papaya,Other,Local,1000,1700,24-Dec-24,13,10,17
8837,Pune,Pune,Papaya,Other,Local,700,1500,24-Jun-25,11,7,15
8838,Pune,Pune,Papaya,Other,Local,1000,2500,1-Oct-24,17,10,25
8839,Pune,Pune,Papaya,Other,Local,1000,2000,20-Apr-25,15,10,20
8840,Pune,Pune,Papaya,Other,Local,500,1800,9-May-25,11,5,18
8841,Pune,Pune,Papaya,Other,Local,1000,1500,30-Dec-24,12,10,15
8842,Pune,Pune,Papaya,Other,Local,1000,1800,14-Nov-24,14,10,18
8843,Pune,Pune,Papaya,Other,Local,700,1500,17-Jun-25,11,7,15
8844,Pune,Pune,Papaya,Other,Local,1000,2000,18-Apr-25,15,10,20
8845,Pune,Pune,Papaya,Other,Local,1000,2000,8-Dec-24,15,10,20
8846,Pune,Pune,Papaya,Other,Local,700,2000,8-May-25,13,7,20
8847,Pune,Pune,Papaya,Other,Local,1000,2200,9-Apr-25,16,10,22
8848,Pune,Pune,Papaya,Other,Local,1000,2000,2-Feb-25,15,10,20
8849,Pune,Pune,Papaya,Other,Local,700,1500,15-Jul-25,11,7,15
8850,Pune,Pune,Papaya,Other,Local,1000,1800,31-Jan-25,14,10,18
8851,Pune,Pune,Papaya,Other,Local,1000,2000,29-Oct-24,15,10,20
8852,Pune,Pune,Papaya,Other,Local,700,1800,7-May-25,12,7,18
8853,Pune,Pune,Papaya,Other,Local,1000,2500,3-Oct-24,17,10,25
8854,Pune,Pune,Papaya,Other,Local,700,2000,21-May-25,13,7,20
8855,Pune,Pune,Papaya,Other,Local,1000,2000,24-Oct-24,15,10,20
8856,Pune,Pune,Papaya,Other,Local,1000,1800,5-Dec-24,14,10,18
8857,Pune,Pune,Papaya,Other,Local,1000,1500,25-Nov-24,12,10,15
8858,Pune,Pune,Papaya,Other,Local,700,2000,26-Mar-25,13,7,20
8859,Pune,Pune,Papaya,Other,Local,1000,2100,10-Apr-25,15,10,21
8860,Pune,Pune,Papaya,Other,Local,1000,2000,13-Oct-24,15,10,20
8861,Pune,Pune,Papaya,Other,Local,1000,3000,5-Feb-25,20,10,30
8862,Pune,Pune,Papaya,Other,Local,1000,2500,10-Oct-24,17,10,25
8863,Pune,Pune,Papaya,Other,Local,800,1500,26-Nov-24,11,8,15
8864,Pune,Pune,Papaya,Other,Local,1000,2500,22-Sep-24,17,10,25
8865,Pune,Pune,Papaya,Other,Local,700,1800,29-May-25,12,7,18
8866,Pune,Pune,Papaya,Other,Local,1000,1800,15-Nov-24,14,10,18
8867,Pune,Pune,Papaya,Other,Local,700,2000,16-Jul-25,13,7,20
8868,Pune,Pune,Papaya,Other,Local,1000,1500,27-Nov-24,12,10,15
8869,Pune,Pune,Papaya,Other,Local,1000,2500,25-Jul-25,17,10,25
8870,Pune,Pune,Papaya,Other,Local,700,2000,27-May-25,13,7,20
8871,Pune,Pune,Papaya,Other,Local,1000,2000,30-Apr-25,15,10,20
8872,Pune,Pune,Papaya,Other,Local,700,2000,7-Mar-25,13,7,20
8873,Pune,Pune,Papaya,Other,Local,700,2000,25-Mar-25,13,7,20
8874,Pune,Pune,Papaya,Other,Local,1000,2000,2-Mar-25,15,10,20
8875,Pune,Pune,Papaya,Other,Local,1000,1500,17-Dec-24,12,10,15
8876,Pune,Pune,Papaya,Other,Local,1000,1500,3-Jan-25,12,10,15
8877,Pune,Pune,Papaya,Other,Local,700,1500,1-Jul-25,11,7,15
8878,Pune,Pune,Papaya,Other,Local,1000,1500,23-Dec-24,12,10,15
8879,Pune,Pune,Papaya,Other,Local,500,3000,18-Feb-25,17,5,30
8880,Pune,Pune,Papaya,Other,Local,1000,1800,24-Nov-24,14,10,18
8881,Pune,Pune,Papaya,Other,Local,1000,1700,5-Jan-25,13,10,17
8882,Pune,Pune,Papaya,Other,Local,1000,1800,15-Apr-25,14,10,18
8883,Pune,Pune,Papaya,Other,Local,700,1500,10-Mar-25,11,7,15
8884,Pune,Pune,Papaya,Other,Local,1000,2500,28-Jan-25,17,10,25
8885,Pune,Pune,Papaya,Other,Local,1000,1800,4-Nov-24,14,10,18
8886,Pune,Pune,Papaya,Other,Local,1000,1700,26-Dec-24,13,10,17
8887,Pune,Pune,Papaya,Other,Local,500,2000,7-Apr-25,12,5,20
8888,Pune,Pune,Papaya,Other,Local,1000,2500,7-Oct-24,17,10,25
8889,Pune,Pune,Papaya,Other,Local,800,1600,17-Nov-24,12,8,16
8890,Pune,Pune,Papaya,Other,Local,1000,1500,6-Jul-25,12,10,15
8891,Pune,Pune,Papaya,Other,Local,1000,3000,2-Oct-24,20,10,30
8892,Pune,Pune,Papaya,Other,Local,1000,1700,2-Jan-25,13,10,17
8893,Pune,Pune,Papaya,Other,Local,1000,2000,14-Apr-25,15,10,20
8894,Pune,Pune,Papaya,Other,Local,1000,1500,9-Dec-24,12,10,15
8895,Pune,Pune,Papaya,Other,Local,1000,2500,11-Oct-24,17,10,25
8896,Pune,Pune,Papaya,Other,Local,1000,1700,25-Dec-24,13,10,17
8897,Pune,Pune,Papaya,Other,Local,1000,3000,16-Sep-24,20,10,30
8898,Pune,Pune,Papaya,Other,Local,1000,2000,13-Apr-25,15,10,20
8899,Pune,Pune,Papaya,Other,Local,1000,2000,19-Feb-25,15,10,20
8900,Pune,Pune,Papaya,Other,Local,1000,1800,31-Oct-24,14,10,18
8901,Pune,Pune,Papaya,Other,Local,700,2000,23-Apr-25,13,7,20
8902,Pune,Pune,Papaya,Other,Local,700,2500,20-Jul-25,16,7,25
8903,Pune,Pune,Papaya,Other,Local,500,1200,30-Jun-25,8,5,12
8904,Pune,Pune,Papaya,Other,Local,1000,2500,20-Sep-24,17,10,25
8905,Pune,Pune,Papaya,Other,Local,700,1800,9-Mar-25,12,7,18
8906,Pune,Pune,Papaya,Other,Local,700,2000,6-May-25,13,7,20
8907,Pune,Pune,Papaya,Other,Local,500,1500,9-Jan-25,10,5,15
8908,Pune,Pune,Papaya,Other,Local,700,1500,26-Jun-25,11,7,15
8909,Pune,Pune,Papaya,Other,Local,1000,2000,23-Oct-24,15,10,20
8910,Pune,Pune,Papaya,Other,Local,1000,2500,30-Mar-25,17,10,25
8911,Pune,Pune,Papaya,Other,Local,1000,2000,27-Dec-24,15,10,20
8912,Pune,Pune,Papaya,Other,Local,1000,2500,30-Jan-25,17,10,25
8913,Pune,Pune,Papaya,Other,Local,1000,2200,18-Oct-24,16,10,22
8914,Pune,Pune,Papaya,Other,Local,1000,2000,7-Nov-24,15,10,20
8915,Pune,Pune,Papaya,Other,Local,1000,1500,28-Nov-24,12,10,15
8916,Pune,Pune,Papaya,Other,Local,1000,3000,16-Jan-25,20,10,30
8917,Pune,Pune,Papaya,Other,Local,1000,2000,13-Feb-25,15,10,20
8918,Pune,Pune,Papaya,Other,Local,1000,1500,1-Nov-24,12,10,15
8919,Pune,Pune,Papaya,Other,Local,1000,1500,13-Dec-24,12,10,15
8920,Pune,Pune,Papaya,Other,Local,700,1500,11-Jul-25,11,7,15
8921,Pune,Pune,Papaya,Other,Local,500,1700,17-Mar-25,11,5,17
8922,Pune,Pune,Papaya,Other,Local,1000,3000,12-Jan-25,20,10,30
8923,Pune,Pune,Papaya,Other,Local,1000,3000,14-Jan-25,20,10,30
8924,Pune,Pune,Papaya,Other,Local,1000,1500,23-Feb-25,12,10,15
8925,Pune,Pune,Papaya,Other,Local,700,2000,24-Mar-25,13,7,20
8926,Pune,Pune,Papaya,Other,Local,500,1800,25-Apr-25,11,5,18
8927,Pune,Pune,Papaya,Other,Local,1000,2000,29-Apr-25,15,10,20
8928,Pune,Pune,Papaya,Other,Local,1000,2000,1-Apr-25,15,10,20
8929,Pune,Pune,Papaya,Other,Local,700,1800,28-Apr-25,12,7,18
8930,Pune,Pune,Papaya,Other,Local,1000,2500,6-Oct-24,17,10,25
8931,Pune,Pune,Papaya,Other,Local,1000,2300,30-Sep-24,16,10,23
8932,Pune,Pune,Papaya,Other,Local,1000,2000,7-Jul-25,15,10,20
8933,Pune,Pune,Papaya,Other,Local,700,1500,12-May-25,11,7,15
8934,Pune,Pune,Papaya,Other,Local,700,1500,8-Jun-25,11,7,15
8935,Pune,Pune,Papaya,Other,Local,1000,2000,6-Nov-24,15,10,20
8936,Pune,Pune,Papaya,Other,Local,700,1500,15-May-25,11,7,15
8937,Pune,Pune,Papaya,Other,Local,700,2000,20-Mar-25,13,7,20
8938,Pune,Pune,Papaya,Other,Local,1000,2000,11-Mar-25,15,10,20
8939,Pune,Pune,Papaya,Other,Local,700,1500,19-Dec-24,11,7,15
8940,Pune,Pune,Papaya,Other,Local,500,1500,5-May-25,10,5,15
8941,Pune,Pune,Papaya,Other,Local,1000,2000,10-Jul-25,15,10,20
8942,Pune,Pune,Papaya,Other,Local,800,2000,2-May-25,14,8,20
8943,Pune,Pune,Papaya,Other,Local,1000,3000,2-Sep-24,20,10,30
8944,Pune,Pune,Papaya,Other,Local,1000,2500,25-Sep-24,17,10,25
8945,Pune,Pune,Papaya,Other,Local,1000,1700,7-Jan-25,13,10,17
8946,Pune,Pune,Papaya,Other,Local,1000,1500,12-Nov-24,12,10,15
8947,Pune,Pune,Papaya,Other,Local,700,2000,12-Mar-25,13,7,20
8948,Pune,Pune,Papaya,Other,Local,1000,1500,11-Dec-24,12,10,15
8949,Pune,Pune,Papaya,Other,Local,500,1500,15-Jun-25,11,5,15
8950,Pune,Pune,Papaya,Other,Local,700,1500,20-May-25,11,7,15
8951,Pune,Pune,Papaya,Other,Local,700,1500,13-Mar-25,11,7,15
8952,Pune,Pune,Papaya,Other,Local,1000,2500,20-Jan-25,17,10,25
8953,Pune,Pune,Papaya,Other,Local,500,2500,17-Jul-25,15,5,25
8954,Pune,Pune,Papaya,Other,Local,1000,1800,15-Dec-24,14,10,18
8955,Pune,Pune,Papaya,Other,Local,1000,1500,21-Feb-25,12,10,15
8956,Pune,Pune,Papaya,Other,Local,1000,1500,25-Feb-25,12,10,15
8957,Pune,Pune,Papaya,Other,Local,700,2000,6-Mar-25,13,7,20
8958,Pune,Pune,Papaya,Other,Local,1000,3000,27-Sep-24,20,10,30
8959,Pune,Pune,Papaya,Other,Local,700,1500,27-Jun-25,11,7,15
8960,Pune,Pune,Papaya,Other,Local,700,1700,6-Dec-24,12,7,17
8961,Pune,Pune,Papaya,Other,Local,700,2000,11-Apr-25,13,7,20
8962,Pune,Pune,Papaya,Other,Local,1000,2000,3-Mar-25,15,10,20
8963,Pune,Pune,Papaya,Other,Local,500,2000,8-Apr-25,12,5,20
8964,Pune,Pune,Papaya,Other,Local,700,1500,16-May-25,11,7,15
8965,Pune,Pune,Papaya,Other,Local,1000,2500,24-Sep-24,17,10,25
8966,Pune,Pune,Papaya,Other,Local,700,2000,4-May-25,13,7,20
8967,Pune,Pune,Papaya,Other,Local,700,2000,29-Jun-25,13,7,20
8968,Pune,Pune,Papaya,Other,Local,1000,2500,27-Jul-25,17,10,25
8969,Pune,Pune,Papaya,Other,Local,700,1800,18-Mar-25,12,7,18
8970,Pune,Pune,Papaya,Other,Local,700,2000,19-May-25,13,7,20
8971,Pune,Pune,Papaya,Other,Local,1000,3000,8-Sep-24,20,10,30
8972,Pune,Pune,Papaya,Other,Local,1000,1500,10-Nov-24,12,10,15
8973,Pune,Pune,Papaya,Other,Local,1000,2000,17-Apr-25,15,10,20
8974,Pune,Pune,Papaya,Other,Local,1000,1500,29-Dec-24,12,10,15
8975,Nashik,Nasik,Potato,Other,Local,1000,1900,15-Mar-25,15.5,10,19
8976,Nashik,Nasik,Potato,Other,FAQ,1850,3200,28-Nov-24,25,18.5,32
8977,Nashik,Nasik,Potato,Other,Local,1100,1950,8-Apr-25,16,11,19.5
8978,Nashik,Nasik,Potato,Other,Local,1200,1800,17-Jun-25,15.5,12,18
8979,Nashik,Nasik,Potato,Other,Local,1200,2050,7-Apr-25,16.5,12,20.5
8980,Nashik,Nasik,Potato,Other,Local,1000,1800,8-Feb-25,14.5,10,18
8981,Nashik,Nasik,Potato,Other,Local,1200,2000,22-Mar-25,14,12,20
8982,Nashik,Nasik,Potato,Other,FAQ,1400,2500,17-Dec-24,21,14,25
8983,Nashik,Nasik,Potato,Other,Local,1400,1850,24-May-25,16.5,14,18.5
8984,Nashik,Nasik,Potato,Other,FAQ,1700,3000,12-Sep-24,24.5,17,30
8985,Nashik,Nasik,Potato,Other,Local,1500,2150,22-Apr-25,18.5,15,21.5
8986,Nashik,Nasik,Potato,Other,Local,1000,2000,19-Mar-25,14.5,10,20
8987,Nashik,Nasik,Potato,Other,FAQ,1100,2400,30-Dec-24,16,11,24
8988,Nashik,Nasik,Potato,Other,FAQ,1600,2950,4-Dec-24,24,16,29.5
8989,Nashik,Nasik,Potato,Other,Local,1400,2050,19-Apr-25,17.5,14,20.5
8990,Nashik,Nasik,Potato,Other,FAQ,2200,3100,2-Nov-24,27,22,31
8991,Nashik,Nasik,Potato,Other,FAQ,2100,3000,3-Oct-24,25.5,21,30
8992,Nashik,Nasik,Potato,Other,FAQ,1600,2900,2-Dec-24,24,16,29
8993,Nashik,Nasik,Potato,Other,Local,1200,2000,25-Feb-25,16,12,20
8994,Nashik,Nasik,Potato,Other,Local,800,1800,29-Mar-25,13,8,18
8995,Nashik,Nasik,Potato,Other,FAQ,2350,3000,3-Aug-24,26.5,23.5,30
8996,Nashik,Nasik,Potato,Other,Local,1200,2050,11-Apr-25,17,12,20.5
8997,Nashik,Nasik,Potato,Other,Local,1200,1750,11-Jul-25,15,12,17.5
8998,Nashik,Nasik,Potato,Other,FAQ,2150,3050,21-Sep-24,26,21.5,30.5
8999,Nashik,Nasik,Potato,Other,FAQ,2350,3000,21-Oct-24,26.5,23.5,30
9000,Nashik,Nasik,Potato,Other,FAQ,1800,3000,7-Dec-24,25,18,30
9001,Nashik,Nasik,Potato,Other,Local,1200,1850,21-Jun-25,15.5,12,18.5
9002,Nashik,Nasik,Potato,Other,Local,1100,2000,29-Jan-25,16.5,11,20
9003,Nashik,Nasik,Potato,Other,Local,1400,2150,2-May-25,18,14,21.5
9004,Nashik,Nasik,Potato,Other,FAQ,2250,2900,12-Oct-24,26,22.5,29
9005,Nashik,Nasik,Potato,Other,FAQ,2250,3000,24-Sep-24,26,22.5,30
9006,Nashik,Nasik,Potato,Other,Local,1050,1850,14-Mar-25,15,10.5,18.5
9007,Nashik,Nasik,Potato,Other,FAQ,2050,3350,27-Nov-24,26,20.5,33.5
9008,Nashik,Nasik,Potato,Other,FAQ,1800,2900,13-Sep-24,23,18,29
9009,Nashik,Nasik,Potato,Other,Local,1050,1900,13-Feb-25,14.5,10.5,19
9010,Nashik,Nasik,Potato,Other,Local,1100,1900,24-Feb-25,15,11,19
9011,Nashik,Nasik,Potato,Other,Local,1050,1950,10-Mar-25,15.5,10.5,19.5
9012,Nashik,Nasik,Potato,Other,FAQ,2250,2900,13-Aug-24,25,22.5,29
9013,Nashik,Nasik,Potato,Other,FAQ,2250,2900,24-Oct-24,26,22.5,29
9014,Nashik,Nasik,Potato,Other,FAQ,1600,2800,6-Dec-24,23,16,28
9015,Nashik,Nasik,Potato,Other,Local,1050,1900,9-Apr-25,16,10.5,19
9016,Nashik,Nasik,Potato,Other,Local,950,1700,7-Feb-25,14,9.5,17
9017,Nashik,Nasik,Potato,Other,Local,1200,1800,17-Jul-25,15.5,12,18
9018,Nashik,Nasik,Potato,Other,Local,1400,2000,5-Jun-25,17,14,20
9019,Nashik,Nasik,Potato,Other,FAQ,2100,3150,26-Sep-24,27,21,31.5
9020,Nashik,Nasik,Potato,Other,FAQ,2350,3100,7-Aug-24,26.5,23.5,31
9021,Nashik,Nasik,Potato,Other,Local,1350,1900,29-Apr-25,16.5,13.5,19
9022,Nashik,Nasik,Potato,Other,Local,1500,2000,19-May-25,17.5,15,20
9023,Nashik,Nasik,Potato,Other,Local,800,2100,20-Mar-25,15,8,21
9024,Nashik,Nasik,Potato,Other,FAQ,2250,2950,5-Aug-24,25,22.5,29.5
9025,Nashik,Nasik,Potato,Other,Local,1050,1800,27-Feb-25,14.5,10.5,18
9026,Nashik,Nasik,Potato,Other,Local,1100,1650,22-Jul-25,13.5,11,16.5
9027,Nashik,Nasik,Potato,Other,Local,1300,1950,23-Jun-25,16,13,19.5
9028,Nashik,Nasik,Potato,Other,Local,1200,1800,19-Jul-25,14.5,12,18
9029,Nashik,Nasik,Potato,Other,FAQ,2500,3200,6-Sep-24,27.5,25,32
9030,Nashik,Nasik,Potato,Other,FAQ,2300,2900,2-Aug-24,26,23,29
9031,Nashik,Nasik,Potato,Other,FAQ,2200,2900,10-Aug-24,25,22,29
9032,Nashik,Nasik,Potato,Other,FAQ,2050,2950,4-Oct-24,25,20.5,29.5
9033,Nashik,Nasik,Potato,Other,Local,1450,2000,16-May-25,18,14.5,20
9034,Nashik,Nasik,Potato,Other,FAQ,1000,1900,23-Jan-25,15,10,19
9035,Nashik,Nasik,Potato,Other,FAQ,2300,3100,27-Sep-24,26.5,23,31
9036,Nashik,Nasik,Potato,Other,FAQ,1400,2350,3-Jan-25,17,14,23.5
9037,Nashik,Nasik,Potato,Other,FAQ,2250,2950,22-Aug-24,26,22.5,29.5
9038,Nashik,Nasik,Potato,Other,FAQ,2200,3000,8-Nov-24,26,22,30
9039,Nashik,Nasik,Potato,Other,FAQ,2300,2950,11-Oct-24,26,23,29.5
9040,Nashik,Nasik,Potato,Other,Local,1350,1950,13-May-25,17,13.5,19.5
9041,Nashik,Nasik,Potato,Other,FAQ,2200,3200,19-Sep-24,27,22,32
9042,Nashik,Nasik,Potato,Other,Local,900,1850,28-Mar-25,13.5,9,18.5
9043,Nashik,Nasik,Potato,Other,Local,1000,1850,12-Mar-25,14,10,18.5
9044,Nashik,Nasik,Potato,Other,Local,1000,2000,17-Mar-25,17,10,20
9045,Nashik,Nasik,Potato,Other,FAQ,2200,2900,15-Nov-24,26.5,22,29
9046,Nashik,Nasik,Potato,Other,FAQ,1100,2450,20-Dec-24,18.5,11,24.5
9047,Nashik,Nasik,Potato,Other,Local,1100,1850,1-Mar-25,14.5,11,18.5
9048,Nashik,Nasik,Potato,Other,FAQ,2300,2950,14-Oct-24,26,23,29.5
9049,Nashik,Nasik,Potato,Other,Local,1500,2050,27-May-25,17.5,15,20.5
9050,Nashik,Nasik,Potato,Other,Local,1450,2100,23-Apr-25,18,14.5,21
9051,Nashik,Nasik,Potato,Other,FAQ,2200,2900,21-Aug-24,25,22,29
9052,Nashik,Nasik,Potato,Other,Local,1400,2000,8-May-25,17,14,20
9053,Nashik,Nasik,Potato,Other,FAQ,1100,2250,10-Jan-25,15,11,22.5
9054,Nashik,Nasik,Potato,Other,FAQ,2250,3000,11-Nov-24,27,22.5,30
9055,Nashik,Nasik,Potato,Other,FAQ,2050,2950,29-Oct-24,24,20.5,29.5
9056,Nashik,Nasik,Potato,Other,FAQ,2250,3200,30-Sep-24,27,22.5,32
9057,Nashik,Nasik,Potato,Other,FAQ,1600,2800,9-Dec-24,23,16,28
9058,Nashik,Nasik,Potato,Other,Local,1050,2000,25-Mar-25,15.5,10.5,20
9059,Nashik,Nasik,Potato,Other,Local,1250,1800,11-Jun-25,16,12.5,18
9060,Nashik,Nasik,Potato,Other,FAQ,1000,2200,28-Dec-24,15,10,22
9061,Nashik,Nasik,Potato,Other,Local,1500,2050,20-May-25,18,15,20.5
9062,Nashik,Nasik,Potato,Other,FAQ,1200,2600,23-Dec-24,18.5,12,26
9063,Nashik,Nasik,Potato,Other,Local,1300,1850,16-Jul-25,16,13,18.5
9064,Nashik,Nasik,Potato,Other,Local,1000,1800,30-Jan-25,15,10,18
9065,Nashik,Nasik,Potato,Other,FAQ,2400,3100,2-Sep-24,27,24,31
9066,Nashik,Nasik,Potato,Other,Local,1400,2100,18-Apr-25,18,14,21
9067,Nashik,Nasik,Potato,Other,FAQ,2450,3100,4-Sep-24,27,24.5,31
9068,Nashik,Nasik,Potato,Other,FAQ,220,2950,26-Aug-24,25,2.2,29.5
9069,Nashik,Nasik,Potato,Other,Local,900,1850,1-Apr-25,13.5,9,18.5
9070,Nashik,Nasik,Potato,Other,FAQ,2300,3050,6-Aug-24,25.5,23,30.5
9071,Nashik,Nasik,Potato,Other,FAQ,1400,2400,1-Jan-25,18,14,24
9072,Nashik,Nasik,Potato,Other,FAQ,2700,3200,29-Aug-24,29,27,32
9073,Nashik,Nasik,Potato,Other,FAQ,2200,3100,20-Sep-24,26.5,22,31
9074,Nashik,Nasik,Potato,Other,FAQ,1500,2600,16-Dec-24,22,15,26
9075,Nashik,Nasik,Potato,Other,Local,1300,2000,12-Apr-25,18,13,20
9076,Nashik,Nasik,Potato,Other,FAQ,2100,2800,17-Oct-24,25,21,28
9077,Nashik,Nasik,Potato,Other,FAQ,2250,2950,9-Aug-24,26,22.5,29.5
9078,Nashik,Nasik,Potato,Other,FAQ,900,2000,15-Jan-25,14,9,20
9079,Nashik,Nasik,Potato,Other,FAQ,1700,2800,7-Sep-24,23,17,28
9080,Nashik,Nasik,Potato,Other,Local,1500,2150,7-May-25,18,15,21.5
9081,Nashik,Nasik,Potato,Other,FAQ,1100,1950,24-Jan-25,16,11,19.5
9082,Nashik,Nasik,Potato,Other,FAQ,1000,2200,9-Jan-25,16,10,22
9083,Nashik,Nasik,Potato,Other,FAQ,1500,2950,11-Sep-24,22,15,29.5
9084,Nashik,Nasik,Potato,Other,FAQ,2250,3050,15-Oct-24,25.5,22.5,30.5
9085,Nashik,Nasik,Potato,Other,Local,1200,1800,12-Jul-25,15.5,12,18
9086,Nashik,Nasik,Potato,Other,Local,1100,1850,26-Feb-25,15,11,18.5
9087,Nashik,Nasik,Potato,Other,FAQ,2200,2950,16-Nov-24,26.5,22,29.5
9088,Nashik,Nasik,Potato,Other,Local,1250,1800,7-Jul-25,15.5,12.5,18
9089,Nashik,Nasik,Potato,Other,FAQ,2200,2800,23-Oct-24,25,22,28
9090,Nashik,Nasik,Potato,Other,FAQ,1000,2200,13-Jan-25,16,10,22
9091,Nashik,Nasik,Potato,Other,Local,1000,1900,11-Mar-25,15,10,19
9092,Nashik,Nasik,Potato,Other,Local,1050,1900,3-Feb-25,15,10.5,19
9093,Nashik,Nasik,Potato,Other,Local,1200,1850,18-Jun-25,16,12,18.5
9094,Nashik,Nasik,Potato,Other,FAQ,1800,3000,3-Dec-24,25,18,30
9095,Nashik,Nasik,Potato,Other,FAQ,1800,2700,28-Oct-24,23,18,27
9096,Nashik,Nasik,Potato,Other,Local,1250,2050,15-Apr-25,18,12.5,20.5
9097,Nashik,Nasik,Potato,Other,FAQ,1000,2000,17-Jan-25,15.5,10,20
9098,Nashik,Nasik,Potato,Other,FAQ,1100,2300,31-Dec-24,17,11,23
9099,Nashik,Nasik,Potato,Other,FAQ,2200,2900,21-Nov-24,26,22,29
9100,Nashik,Nasik,Potato,Other,FAQ,1000,2100,18-Jan-25,15,10,21
9101,Nashik,Nasik,Potato,Other,FAQ,2250,2950,22-Nov-24,26,22.5,29.5
9102,Nashik,Nasik,Potato,Other,FAQ,2300,3050,14-Nov-24,27.5,23,30.5
